project_id,name,category,aliases,search_terms,developer,device,country,reporting_country,technology,in_scope,test_site_id,test_site_name_raw,location,capacity_kw,capacity_basis,lat,lon,location_basis,first_seen,last_seen,report_years,report_pages,obs_ids,report_years_basis,latest_status,source,pilot_project_id,primre_name,primre_link_basis,primre_status,primre_scale,primre_website,review_status,notes
P0012,Laminaria 1:4 scale prototype sea trials,annual reports,Laminaria | Laminaria device,Laminaria,Laminaria,,Belgium,Belgium,wave,yes,ostend_wave,Ostend sea testing site,"Over the last year a fully functional 1:4 scale prototype has been tested at the sea testing site in Ostend, Belgium.",1,Pilot (report),51.235,2.91,test site,2016,2016,2016,2016:p60,OBS0015,Pilot observations (page + quoted evidence),installed,Pilot,PRJ0014,,,,,,unreviewed,reviewed 2026-09-24: test site linked from the Pilot's site name
P0013,LAMWEC,annual reports,Laminaria deployment at EMEC | Laminaria device,LAMWEC | Laminaria,Laminaria,,United Kingdom,Belgium,wave,yes,emec,EMEC,"Laminaria is planning a deployment at the EMEC test site in Orkney, Scotland, in 2017 (LAMWEC project).",,,58.963,-3.296,test site,2016,2016,2016,2016:p61,OBS0017,Pilot observations (page + quoted evidence),planned,Pilot,PRJ0016,,,,,,unreviewed,
P0015,Raz Blanchart tidal energy pilot project,annual reports,Raz Blanchard,Raz Blanchart | ~Raz Blanchard,"Tractebel (ENGIE affiliate) - pre-feasibility study, technical audit and foundation design",,France,Belgium,tidal stream,yes,,,"Belgian ENGIE affiliate Tractebel was involved in the pre-feasibility study, technical audit and foundation design of the Raz Blanchart tidal energy pilot project in France.",,,46.6034,1.8883,country,2020,2020,2020,2020:p54,OBS0020,Pilot observations (page + quoted evidence),design,Pilot,PRJ0018,,,,,,unreviewed,
P0016,ITEG - Integrating Tidal Energy into the European Grid,annual reports,ITEG | SR2-2000,~ITEG | SR2-2000,European Marine Energy Centre (EMEC),,United Kingdom,Belgium,tidal stream,yes,emec,EMEC Fall of Warness,"the project will deliver an onshore energy management system at EMEC's Fall of Warness tidal test site, off the northern Orkney island of Eday",2000,Pilot (report),58.963,-3.296,test site,2020,2020,2020,2020:p58,OBS0023,Pilot observations (page + quoted evidence),planned,Pilot,PRJ0020,,,,,,unreviewed,
P0017,Cape Sharp Tidal project at FORCE,annual reports,Cape Sharp Tidal | Cape Sharp Tidal Venture | Cape Sharp turbine | Cape Sharp turbine at FORCE berth D,Cape Sharp | Open Centre | Open Centre Turbine,Cape Sharp Tidal Venture,Open Centre Turbine,Canada,Canada,tidal stream,yes,force,FORCE,Cape Sharp Tidal Venture installed the first of their two turbines into the Bay of Fundy at the FORCE site in Nova Scotia.,2000,Pilot (report),45.37,-64.43,test site,2016,2020,2016; 2020,2016:p67; 2020:p61,OBS0027; OBS0049,Pilot observations (page + quoted evidence),suspended,Pilot; PRIMRE,PRJ0022,Cape Sharp Tidal Venture,reviewed 2026-09-24: match,Inactive,Full-scale,https://www.aecon.com/our-expertise/our-projects/cape-sharp-tidal,unreviewed,
P0018,Black Rock Tidal Power project at FORCE,annual reports,Black Rock Tidal Power,Black Rock,Black Rock Tidal Power,,Canada,Canada,tidal stream,yes,force,FORCE,"Black Rock Tidal Power, a berth holder at the FORCE site, is scheduled to begin installation of their first device in 2017.",5000,Pilot (report),45.37,-64.43,test site,2016,2016,2016,2016:p66,OBS0028,Pilot observations (page + quoted evidence),planned,Pilot,PRJ0023,,,,,,unreviewed,
P0019,Minas Tidal Limited Partnership project at FORCE,annual reports,Minas Tidal | Minas Tidal Limited Partnership | Tocardo semi-submersible platform,Tocardo | ~Minas Tidal | Minas Tidal Limited Partnership,Minas Tidal Limited Partnership,,Canada,Canada,tidal stream,yes,force,FORCE,"Minas Tidal Limited Partnership (Minas Tidal) is now the berth holder at the FORCE test site ... Minas Tidal plans to deploy three Tocardo semi-submersible platforms at the FORCE site, outfitted with five 250 kW bi-directional turbine generators for a total of 1.25 MW per floating platform.",4000,Pilot (report),45.37,-64.43,test site,2016,2016,2016,2016:p67,OBS0029,Pilot observations (page + quoted evidence),planned,Pilot,PRJ0024,,,,,,unreviewed,
P0020,Atlantis Operations Canada project at FORCE,annual reports,Atlantis Operations Canada,Atlantis Operations Canada,Atlantis Operations Canada,,Canada,Canada,tidal stream,yes,force,FORCE,"Atlantis Operations Canada and DP Energy have also received project approval from the Province and plan to deploy in-stream tidal energy technologies totalling 4.5 MW each, at the FORCE site by 2018.",4500,Pilot (report),45.37,-64.43,test site,2016,2016,2016,2016:p67,OBS0030,Pilot observations (page + quoted evidence),consented,Pilot,PRJ0025,,,,,,unreviewed,
P0021,DP Energy project at FORCE,annual reports,DP Marine Energy,DP Marine Energy,DP Energy,,Canada,Canada,tidal stream,yes,force,FORCE,"Atlantis Operations Canada and DP Energy have also received project approval from the Province and plan to deploy in-stream tidal energy technologies totalling 4.5 MW each, at the FORCE site by 2018.",4500,Pilot (report),45.37,-64.43,test site,2016,2016,2016,2016:p67,OBS0031,Pilot observations (page + quoted evidence),consented,Pilot,PRJ0026,,,,,,unreviewed,
P0022,CNA full-scale wave-powered water pump prototype,annual reports,,~CNA,College of the North Atlantic (CNA),,Canada,Canada,wave,yes,werc_ca,WERC,"The CNA has completed scaled model testing and expects to deploy a full scale prototype in 2017. This 10 ton wave energy converter is designed as a robust, low technology point absorber conceived to deliver a high volume of water to shore.",,,46.88,-55.67,test site,2016,2016,2016,2016:p67,OBS0034,Pilot observations (page + quoted evidence),design,Pilot,PRJ0029,,,,,,unreviewed,
P0023,Annapolis Royal tidal barrage power plant,annual reports,Annapolis Royal,~Annapolis Royal,Nova Scotia Power,,Canada,Canada,tidal range,yes,,,The 20 MW Annapolis Royal tidal barrage power plant was commissioned in 1984 and continues to operate today.,20000,Pilot (report),44.7420,-65.5161,place,2016,2016,2016,2016:p67,OBS0035,Pilot observations (page + quoted evidence),operational,Pilot,PRJ0030,,,,,,unreviewed,
P0024,Mermaid Power Neptune 3 / Neptune 3A at Keats Island,annual reports,Neptune 3 | Neptune 3 / Neptune 3A | Neptune 3A,Neptune | Neptune 3 | Neptune 3A,Mermaid Power Corporation,,Canada,Canada,wave,yes,,,Mermaid Power Corporation deployed its Neptune 3 wave energy device at Keats Island in December 2015 and was followed by Neptune 3A deployment in early September 2016.,,,49.3974,-123.4565,place,2016,2016,2016,2016:p67,OBS0036,Pilot observations (page + quoted evidence),installed,Pilot,PRJ0031,,,,,,unreviewed,
P0025,Mermaid Power Neptune 4,annual reports,Neptune 4,Neptune | Neptune 4,Mermaid Power Corporation,,Canada,Canada,wave,yes,,,"As a result of the successful deployments at Keats Island, Mermaid Power Corporation has been able to make modifications for a new device, Neptune 4, which is under design and is targeted for deployment in early summer 2017.",,,61.0667,-107.9917,country,2016,2016,2016,2016:p68,OBS0037,Pilot observations (page + quoted evidence),design,Pilot,PRJ0032,,,,,,unreviewed,
P0026,Idenergie river hydrokinetic turbines in Canadian parks,annual reports,Idénergie,Idénergie,Idénergie,,Canada,Canada,river current,yes,,,"Idénergie installed 6 river hydrokinetic turbines in 2016 to national parks in British Columbia and National parks. The turbines were installed for seasonal purposes and were removed for the winter. In 2017, additional 5 river hydrokinetic turbines will be installed in various Parks Canada site across Canada at approximately 0.5 kW nameplate capacity.",0.5,Pilot (report),55.0013,-125.0024,region,2016,2016,2016,2016:p68,OBS0038,Pilot observations (page + quoted evidence),retrieved,Pilot,PRJ0033,,,,,,unreviewed,
P0027,Water Wall Turbine in-stream tidal demonstration at Dent Island,annual reports,Water Wall Turbine,Water Wall,Water Wall Turbine,,Canada,Canada,tidal stream,yes,,,"Water Wall Turbine deployed 500 kW full size in-stream tidal demonstration turbine at Dent Island, BC in June 2016.",500,Pilot (report),50.4051,-125.1884,place,2016,2016,2016,2016:p68,OBS0039,Pilot observations (page + quoted evidence),retrieved,Pilot,PRJ0034,,,,,,unreviewed,
P0028,NewEast Energy Minas Passage tidal project,annual reports,EnviroGen Power Generation System | New Energy Corp. EnviroGen system for a Manitoba First Nations community | EnviroGen Power Generation system | NewEast Energy | NewEast Energy Minas Passage project | Neweast Energy,NewEast | Neweast | EnviroGen,New Energy Corp.,,Canada,Canada,river current,yes,,,New Energy Corp. has been working with a First Nations community in Manitoba to supply a 25 kW EnviroGen Power Generation System.,800,Pilot (report),55.0013,-97.0010,region,2016,2020,2016; 2020,2016:p68; 2020:p66,OBS0040; OBS0052,Pilot observations (page + quoted evidence),consented,Pilot,PRJ0035 | PRJ0044,,,,,,unreviewed,reviewed 2026-09-24: merged P0037 (NewEast Energy Minas Passage tidal project)
P0029,Mavi Innovations Mi1 tidal turbine at Blind Channel Resort and Marina,annual reports,Mi1,Mi1,Mavi Innovations,Mi1 Floating Turbine,Canada,Canada,tidal stream,yes,blind_channel,,"In 2017, Mavi Innovations will be deploying the Mi1 floating tidal turbine at Blind Channel Resort and Marina to offset the operator's use of diesel fuel.",25,PRIMRE,50.41,-125.5,test site,2016,2016,2016,2016:p68,OBS0041,Pilot observations (page + quoted evidence),planned,Pilot; PRIMRE,PRJ0036,Mavi Mi1 Deployment at Blind Channel Tidal Demonstration Centre,reviewed 2026-09-24: match,Inactive,Full-scale,https://mavi-innovations.ca/#portfolio-4,unreviewed,
P0030,Yourbrook Energy Systems Haida Gwaii tidal pilot project,annual reports,,Yourbrook Energy Systems Haida Gwaii,Yourbrook Energy Systems,,Canada,Canada,tidal stream,yes,,,Yourbrook Energy Systems launched a 3-month pilot project in Haida Gwaii for a small-scale prototype of its systems (up to 80 kW) in the Juskatla Narrows of Masset Inlet.,80,Pilot (report),52.6894,-131.8941,place,2016,2016,2016,2016:p68,OBS0042,Pilot observations (page + quoted evidence),planned,Pilot,PRJ0037,,,,,,unreviewed,
P0031,Big Moon Power project at FORCE berth D,annual reports,Big Moon Power Kinetic Keel test trial | Kinetic Keel | Big Moon Power | BigMoon Power,BigMoon | Big Moon | Kinetic Keel,Big Moon Power,,Canada,Canada,tidal stream,yes,force,,"In April 2016, Big Moon Power successfully completed their test trial of their Kinetic Keel technology in the upper Bay of Fundy.",5000,Pilot (report),45.37,-64.43,test site,2016,2020,2016; 2020,2016:p68; 2020:p66,OBS0043; OBS0048,Pilot observations (page + quoted evidence),consented,Pilot,PRJ0038 | PRJ0041,,,,,,unreviewed,reviewed 2026-09-24: merged P0034 (Big Moon Power project at FORCE berth D)
P0032,"PLAT-I 4.63 floating tidal energy platform, Grand Passage",annual reports,PLAT-I | PLAT-I 4.63 | PLAT-I 4.63 prototype,PLAT-I | PLAT-I 4.63 | Sustainable Marine Grand Passage,Sustainable Marine Energy,,Canada,Canada,tidal stream,yes,,,Sustainable Marine Energy has been operating its PLAT-I 4.63 (280 kW) floating tidal energy platform in Grand Passage since 2018.,280,Pilot (report),44.2643,-66.3363,PRIMRE,2020,2020,2020,2020:p66; 2020:p94,OBS0046; OBS0195,Pilot observations (page + quoted evidence),operational,Pilot; PRIMRE,PRJ0039 | PRJ0159,Sustainable Marine Grand Passage - Phase 1,reviewed 2026-09-24: relinked from PLAT-I Connel Sound,Inactive,Full-scale,https://energy.novascotia.ca/sites/default/files/files/12__MRE_Permit_Section_12_0_SMEC_Grand_Passage_Supporting_Documents_REVISION_14NOV2019.pdf,unreviewed,reviewed 2026-09-24: merged P0132 (same project)
P0033,Pempa'q In-stream Tidal Energy Project,annual reports,PLAT-I | Pempa'q | Spicer Energy's Pempa'q project | Pempa’q | Pempa'q Tidal Energy project,PLAT-I | Pempa'q,Sustainable Marine Energy,,Canada,Canada | Germany,tidal stream,yes,force,FORCE,"The first phase of the Pempa'q In-stream Tidal Energy Project will begin with the installation of a 420 kW PLAT-I platform that will be launched in early 2021. It will be installed at the Grand Passage site for commissioning and testing throughout the winter and spring. Construction work will then start at the FORCE site where this platform will be installed, alongside two others, to provide a combined capacity of 1.26 MW.",9000,Pilot (report),45.37,-64.43,test site,2020,2020,2020,2020:p67; 2020:p94,OBS0047; OBS0197,Pilot observations (page + quoted evidence),planned,Pilot,PRJ0040 | PRJ0161,,,,,,unreviewed,reviewed 2026-09-24: merged P0134 (Pempa'q Tidal Energy project)
P0035,Uisce Tapa,annual reports,DP Energy's Uisce Tapa Project,Uisce Tapa,DP Energy,,Canada,Canada,tidal stream,yes,force,FORCE,"DP Energy continued to develop its 9 MW project, Uisce Tapa, at FORCE test site through 2020, finalizing site specific engineering, site characterization activities and the final planning activities.",9000,Pilot (report),45.37,-64.43,test site,2020,2020,2020,2020:p66,OBS0050,Pilot observations (page + quoted evidence),consented,Pilot,PRJ0042,,,,,,unreviewed,
P0036,Jupiter Hydro Bay of Fundy project,annual reports,,Jupiter Hydro,Jupiter Hydro,,Canada,Canada,tidal stream,yes,,,"Jupiter Hydro has continued planning for the development of its project in the Bay of Fundy, which is in two phases: the testing of a non-grid connected 1 MW prototype and the other for 2MW demonstration.",2000,Pilot (report),44.8512,-66.1978,region,2020,2020,2020,2020:p66,OBS0051,Pilot observations (page + quoted evidence),consented,Pilot,PRJ0043,,,,,,unreviewed,
P0038,Nova Innovation Petit Passage tidal energy project,annual reports,Phase 1 of its 1.5 MW tidal array in the Bay of Fundy area | direct drive turbines | Nova Innovation Nova Scotia tidal energy project,Petit Passage,Nova Innovation,,Canada,Canada | United Kingdom,tidal stream,yes,,,"Nova Innovation continues to plan for the installation of its 1.5 MW tidal energy project in Petit Passage, Nova Scotia.",1500,Pilot (report),44.3910,-66.2069,place,2020,2025,2020; 2025,2020:p66; 2020:p170; 2025:p95,OBS0053; OBS0522; OBS0061,Pilot observations (page + quoted evidence),planned,Pilot,PRJ0045 | PRJ0417,,,,,,unreviewed,reviewed 2026-09-24: merged P0340 (Nova Innovation Nova Scotia tidal energy project)
P0039,Kamdis Tidal Power Demonstration Project (Haida Gwaii),annual reports,Kamdis | Kamdis Tidal Power Demonstration Project | Kamdis Tidal Power Demonstration project,Kamdis,Yourbrook Energy Systems Ltd.,,Canada,Canada,tidal stream,yes,,,The study will support the project's collaboration with T'll Yahda Energy of the Haida Nation to reduce diesel use and greenhouse gas emissions on Haida Gwaii.,500,Pilot (report),52.6894,-131.8941,place,2020,2025,2020; 2025,2020:p67; 2025:p95,OBS0054; OBS0062,Pilot observations (page + quoted evidence),design,Pilot,PRJ0046,,,,,,unreviewed,
P0041,Muchalaht First Nation wave energy project,annual reports,,Muchalaht First Nation,University of Victoria / PRIMED,,Canada,Canada,wave,yes,,,Muchalaht First Nation project including wave energy FEED study.,,,61.0667,-107.9917,country,2020,2020,2020,2020:p66,OBS0056,Pilot observations (page + quoted evidence),concept,Pilot,PRJ0048,,,,,,unreviewed,
P0042,Eauclaire Tidal / Orbital Marine Power Minas Passage tidal stream programme,annual reports,Eauclaire Power Ltd. | Eauclaire Tidal Limited Partnerships | Eauclaire Tidal Ltd. | Eauclaire/Orbital | O2-X,O2-X | Eauclaire,Eauclaire Tidal Ltd.,,Canada,Canada,tidal stream,yes,force,FORCE,"In 2025, Orbital Marine Power and its partner Eauclaire Tidal Ltd. continued advancing their flagship Canadian tidal stream program in the Minas Passage, Bay of Fundy, in collaboration with FORCE.",12500,Pilot (report),45.37,-64.43,test site,2025,2025,2025,2025:p94,OBS0059,Pilot observations (page + quoted evidence),consented,Pilot,PRJ0050,,,,,,unreviewed,
P0043,Mackenzie River hydrokinetic project,annual reports,RivGen,RivGen | Mackenzie River,ORPC Canada,,Canada,Canada,river current,yes,,,"A major focus this year was the Mackenzie River hydrokinetic project near Fort Providence, Northwest Territories, where the proposed submersible RivGen turbine advanced to its next phase with nearly $600,000 in federal funding from the Clean Energy for Rural and Remote Communities Program to support data collection and field activities.",,,61.3523,-117.6490,place,2025,2025,2025,2025:p94,OBS0060,Pilot observations (page + quoted evidence),planned,Pilot,PRJ0051,,,,,,unreviewed,
P0044,Yuquot Wave Energy Project,annual reports,,Yuquot,Mowachaht/Muchalaht First Nation,,Canada,Canada,wave,yes,,,"In 2025, the Yuquot Wave Energy Project, led by the Mowachaht/Muchalaht First Nation, successfully completed its feasibility and design study ... highlighting the cultural importance of Yuquot to the Mowachaht/Muchalaht First Nation people and the exciting potential of wave energy for the community",,,49.5918,-126.6187,place,2025,2025,2025,2025:p95,OBS0063,Pilot observations (page + quoted evidence),design,Pilot,PRJ0052,,,,,,unreviewed,
P0045,New Energy Corporation Bay of Fundy tidal energy demonstration project,annual reports,NEC | NEO,~NEC | ~NEO,New Energy Corporation,,Canada,Canada,tidal stream,yes,,,"Additionally, in the Bay of Fundy, NEC advanced project planning for its tidal energy demonstration project.",,,44.8512,-66.1978,region,2025,2025,2025,2025:p94,OBS0064,Pilot observations (page + quoted evidence),planned,Pilot,PRJ0053,,,,,,unreviewed,
P0046,NNU turbine (15 kW),annual reports,NNU turbine,~NNU,Northeast Normal University (NNU),,China,China,tidal stream,yes,,,near Zhaitang Island,15,Pilot (report),35.6305,119.9241,place,2016,2016,2016,2016:p71,OBS0065,Pilot observations (page + quoted evidence),operational,Pilot,PRJ0054,,,,,,unreviewed,
P0047,IEE turbine (2×2.5 kW),annual reports,IEE turbine,~IEE,Institute of Electrical Engineering (IEE) of the Chinese Academy of Sciences (CAS),,China,China,tidal stream,yes,,,near Xisan Island,2.5,Pilot (report),34.5412,108.9237,country,2016,2016,2016,2016:p71,OBS0066,Pilot observations (page + quoted evidence),operational,Pilot,PRJ0055,,,,,,unreviewed,
P0048,Sharp Eagle Wanshan (100 kW wave energy device),annual reports,100 kW Sharp Eagle | Share Eagle Wanshan (caption spelling) | Sharp Eagle Wanshan | Sharp Eagle Wanshan (100 kW),Sharp Eagle | Sharp Eagle Wanshan | Share Eagle Wanshan,Guangzhou Institute of Energy Conversion (GIEC) of the Chinese Academy of Sciences (CAS),Eagle One,China,China,wave,yes,,,deployed for testing in Wanshan Islands,100,Pilot (report),22.0119,114.0267,PRIMRE,2016,2020,2016; 2020,2016:p71; 2020:p68,OBS0067; OBS0084,Pilot observations (page + quoted evidence),operational,Pilot; PRIMRE,PRJ0056 | PRJ0072,Wanshan Sharp Eagle Sea Test | Sharp Eagle I Sea Trial,reviewed: match | reviewed 2026-09-24: match,Inactive,Full-scale | Sub-scale,https://www.sciencedirect.com/science/article/pii/S0960148117305207 | https://tethys-engineering.pnnl.gov/publications/study-hydrodynamic-characteristics-sharp-eagle-wave-energy-converter,unreviewed,"reviewed 2026-09-24: added PRJ0072, the Pilot's test-site record for the same thing"
P0049,IEE point-absorber wave energy converter (10 kW),annual reports,,~IEE,Institute of Electrical Engineering (IEE) of the Chinese Academy of Sciences (CAS),,China,China,wave,yes,,,near the Wanshan Islands,10,Pilot (report),21.9688,113.7370,place,2016,2016,2016,2016:p72,OBS0068,Pilot observations (page + quoted evidence),operational,Pilot,PRJ0057,,,,,,unreviewed,
P0050,FIO OTEC device (non-azeotropic ammonia-water mixture),annual reports,,~FIO,First Institute of Oceanography (FIO) of the State Oceanic Administration (SOA),,China,China,OTEC,yes,,,,10,Pilot (report),34.5412,108.9237,country,2016,2016,2016,2016:p72,OBS0069,Pilot observations (page + quoted evidence),installed,Pilot,PRJ0058,,,,,,unreviewed,
P0051,Jiangxia Tidal Power Plant,annual reports,,~Jiangxia | ~Jiangxia Tidal Power Plant | ~Jiangxia Tidal Power Station,China Longyuan Power Group Co. (affiliated to China Guodian Corporation since 2003),,China,China,tidal range,yes,,,,700,Pilot (report),28.2313,121.1342,PRIMRE,2016,2016,2016,2016:p72,OBS0073,Pilot observations (page + quoted evidence),operational,Pilot; PRIMRE,PRJ0062,Jiangxia Tidal Power Station,reviewed 2026-09-24: match,Active,Full-scale,https://tethys.pnnl.gov/project-sites/jiangxia-pilot-tidal-power-plant,unreviewed,
P0052,LHD Tidal Current Energy Demonstration Project,annual reports,Endeavour | LHD Tidal Current Power Station | Zhejiang LHD Tidal Current Power Station,~LHD | Endeavour | Zhejiang LHD | LHD Tidal Current Power Station | LHD Tidal Current Energy Demonstration Project,Hangzhou United Energy Co. Ltd.,LHD Module F,China,China,tidal stream,yes,,,The Zhejiang LHD Tidal Current Power Station,4100,Pilot (report),30.1338,122.1696,PRIMRE,2016,2025,2016; 2020; 2025,2016:p73; 2020:p72; 2025:p100,OBS0074; OBS0081; OBS0093,Pilot observations (page + quoted evidence),grid_connected,Pilot; PRIMRE,PRJ0063,LHD Tidal Generation Endeavor Installation | LHD Tidal Installation F | LHD Tidal Installation G | LHD Tidal Modules A-D Installation,reviewed: reconcile capacity | reviewed 2026-09-24: phase of this project,Active,Full-scale,https://www.seetao.com/details/141111.html | https://pubs.aip.org/aip/pof/article/37/7/071308/3356953/A-review-of-ocean-tidal-current-energy-technology,unreviewed,
P0053,Zhairuoshan Tidal Energy Power Demonstration Station,annual reports,,~Zhairuoshan Tidal Energy Power Demonstration Station,Zhejiang University (ZJU),,China,China,tidal stream,yes,zju_zhairuoshan,,near the Zhairuoshan Island,120,Pilot (report),30.02,122.07,test site,2016,2016,2016,2016:p73,OBS0075,Pilot observations (page + quoted evidence),operational,Pilot,PRJ0064,,,,,,unreviewed,
